1,2017-01-09,2017-05-08,815.48,3
2,2016-08-25,2017-01-10,4763.03,9
3,2016-09-20,2017-01-05,4322.97,17
4,2017-07-22,2016-11-15,2403.26,16
5,2017-07-19,2017-04-23,4905.20,19
6,2017-05-25,2017-01-25,3634.75,9
7,2016-11-29,2016-10-14,4620.96,6
8,2016-12-31,2017-04-28,2852.62,15
9,2016-12-02,2016-08-10,1345.21,16
10,2016-12-02,2016-11-18,1573.47,4
11,2016-09-15,2017-05-15,1853.62,2
12,2016-08-12,2016-11-16,2387.57,16
13,2016-09-07,2017-03-12,3477.48,4
14,2017-01-23,2017-03-14,1073.43,16
15,2017-02-10,2017-01-29,4940.90,6
16,2017-01-19,2017-05-25,3444.04,18
17,2017-04-13,2017-06-25,4389.83,20
18,2017-07-19,2016-12-28,4691.09,16
19,2017-01-14,2017-02-11,2701.93,9
20,2017-07-06,2017-02-27,771.23,1
