1,41111111113,21111111117
2,41111111113,21111111119
3,31111111113,11111111117
4,31111111111,21111111118
5,41111111116,11111111113
6,41111111111,11111111117
7,41111111111,11111111119
8,31111111111,21111111112
9,31111111111,11111111114
10,31111111113,11111111113
11,41111111115,21111111119
12,41111111113,11111111116
13,41111111118,21111111112
14,31111111116,11111111117
15,41111111112,11111111117
16,31111111119,11111111115
17,31111111116,11111111118
18,41111111115,11111111119
19,41111111117,11111111115
20,31111111114,11111111118
